container,movement_count,first_date,first_location,first_status,last_date,last_location,last_status
EISU9987641,2,2019-04-09 00:00:00,SANTIAGO (CL),Empty container returned,2019-04-18 00:00:00,SAN ANTONIO (CL),Empty container returned
EGSU1021806,2,2019-04-09 00:00:00,SANTIAGO (CL),Empty container returned,2019-04-19 00:00:00,SAN ANTONIO (CL),Empty container returned
EGSU9119018,2,2019-04-10 00:00:00,SANTIAGO (CL),Empty container returned,2019-04-18 00:00:00,SAN ANTONIO (CL),Empty container returned
IMTU9062777,2,2019-04-11 00:00:00,GUAYAQUIL (EC),Empty container returned,2019-04-20 00:00:00,IQUIQUE (CL),Empty container returned
GATU8695177,2,2019-04-10 00:00:00,GUAYAQUIL (EC),Empty container returned,2019-04-20 00:00:00,IQUIQUE (CL),Empty container returned
EGHU9287390,2,2019-04-05 00:00:00,SANTIAGO (CL),Empty container returned,2019-04-17 00:00:00,SAN ANTONIO (CL),Empty container returned
EISU9449902,2,2019-04-05 00:00:00,SANTIAGO (CL),Empty container returned,2019-04-19 00:00:00,SAN ANTONIO (CL),Empty container returned
EGSU9161050,2,2019-04-05 00:00:00,SANTIAGO (CL),Empty container returned,2019-04-17 00:00:00,SAN ANTONIO (CL),Empty container returned
EGHU9083354,2,2019-04-12 00:00:00,SANTIAGO (CL),Empty container returned,2019-04-18 00:00:00,SAN ANTONIO (CL),Empty container returned
EMCU9427198,2,2019-04-12 00:00:00,SANTIAGO (CL),Empty container returned,2019-04-18 00:00:00,SAN ANTONIO (CL),Empty container returned
EMCU9897822,2,2019-04-12 00:00:00,SANTIAGO (CL),Empty container returned,2019-04-18 00:00:00,SAN ANTONIO (CL),Empty container returned
EGHU9389750,2,2019-04-15 00:00:00,SANTIAGO (CL),Empty container returned,2019-04-17 00:00:00,SAN ANTONIO (CL),Empty container returned
