container,date,status,location
EGSU5006184,2019-04-10 00:00:00,Empty container returned,SAN ANTONIO (CL)
EGSU5006585,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EGSU5008438,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EGSU5011719,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EGSU5011832,2019-04-09 00:00:00,Empty container returned,SAN ANTONIO (CL)
EGSU5012660,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EGSU5018544,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EISU5678808,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EISU5681519,2019-04-11 00:00:00,Empty container returned,SAN ANTONIO (CL)
EISU5683419,2019-02-15 00:00:00,Empty container returned,KAOHSIUNG (TW)
EISU5685176,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EISU5692658,2019-04-09 00:00:00,Loaded (FCL) on vessel,SAN ANTONIO (CL)
EISU5695472,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5278711,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5278882,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5288448,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5288601,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5297408,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5297769,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5303748,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5309176,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5311358,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5315380,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5319195,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5319847,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5321910,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5326574,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5338030,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5360959,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5364255,2019-04-03 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5372775,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5406319,2019-02-11 00:00:00,Empty container returned,KAOHSIUNG (TW)
EMCU5410237,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EISU5695554,2019-02-14 00:00:00,Empty container returned,KAOHSIUNG (TW)
EISU5698975,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EISU5699544,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EISU5701467,2019-04-09 00:00:00,Loaded (FCL) on vessel,SAN ANTONIO (CL)
EMCU5238196,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5246036,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5246993,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5248614,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5250376,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5251069,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5251665,2019-04-09 00:00:00,Loaded (FCL) on vessel,SAN ANTONIO (CL)
EMCU5254936,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5255151,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5255378,2019-04-09 00:00:00,Empty container returned,SAN ANTONIO (CL)
EMCU5259590,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5262818,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5263922,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5267825,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5268863,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EMCU5427395,2019-04-09 00:00:00,Loaded (FCL) on vessel,SAN ANTONIO (CL)
EMCU5427420,2019-04-09 00:00:00,Loaded (FCL) on vessel,SAN ANTONIO (CL)
EGHU5004233,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EGHU5004491,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EGHU5006961,2019-02-14 00:00:00,Empty container returned,KAOHSIUNG (TW)
EGHU5012239,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EGHU5013235,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EGSU5002208,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EGSU5004073,2019-04-02 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EISU9296022,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
EISU9410881,2019-03-16 00:00:00,Empty container returned,MANZANILLO (MX)
EISU9477083,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
XINU8224409,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
EMCU9494961,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
EMCU9593440,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
EMCU9804964,2019-03-16 00:00:00,Empty container returned,MANZANILLO (MX)
EMCU9871978,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
HMCU9101250,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
MAGU5295589,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
MAGU5409001,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
TEMU6115893,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
TEMU7118515,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
TEMU7128560,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
TEMU7269152,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
TGBU6278648,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
TGHU6594674,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
TGHU8852037,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
TGHU8980336,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
EISU1853775,2019-03-06 00:00:00,Empty container returned,MANZANILLO (MX)
EISU1864770,2019-03-12 00:00:00,Empty container returned,MANZANILLO (MX)
EMCU1333180,2019-03-12 00:00:00,Empty container returned,MANZANILLO (MX)
IMTU1034594,2019-03-06 00:00:00,Empty container returned,MANZANILLO (MX)
IMTU1087228,2019-03-12 00:00:00,Empty container returned,MANZANILLO (MX)
IMTU1100886,2019-03-12 00:00:00,Empty container returned,MANZANILLO (MX)
LTIU6054868,2019-03-12 00:00:00,Empty container returned,MANZANILLO (MX)
AMFU8785655,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
CLHU8988429,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
CLHU9012719,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
EGHU9107142,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
EGHU9177767,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
EGHU9300378,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
EGHU9377847,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
EGSU9137290,2019-03-16 00:00:00,Empty container returned,MANZANILLO (MX)
EGSU9183613,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
EISU9182740,2019-02-23 00:00:00,Empty container returned,MANZANILLO (MX)
EGHU3325110,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
EMCU6020090,2019-03-06 00:00:00,Empty container returned,MANZANILLO (MX)
TEMU4131447,2019-02-27 00:00:00,Empty container returned,MANZANILLO (MX)
EMCU7608751,2019-03-15 00:00:00,Empty container returned,MANZANILLO (MX)
EISU3938697,2019-04-11 00:00:00,Loaded (FCL) on vessel,CALLAO (PE)
TGBU6780804,2019-04-11 00:00:00,Loaded (FCL) on vessel,CALLAO (PE)
IMTU9041265,2019-04-08 00:00:00,Empty container returned,CALLAO (PE)
MAGU5399074,2019-04-13 00:00:00,Empty container returned,CALLAO (PE)
TEMU4316749,2019-04-03 00:00:00,Loaded (FCL) on vessel,CALLAO (PE)
EMCU1425687,2019-04-02 00:00:00,Empty container returned,CALLAO (PE)
HMCU1065808,2019-04-08 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
EMCU9819075,2019-04-03 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
IMTU9088391,2019-04-04 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
TEMU8424417,2019-04-04 00:00:00,Empty container returned,CALLAO (PE)
TEMU8803299,2019-04-05 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
TGHU9032475,2019-04-06 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
HMCU9128775,2019-04-06 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
HMCU9143487,2019-04-05 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
TGHU8965497,2019-04-05 00:00:00,Empty container returned,CALLAO (PE)
EISU1651202,2019-04-05 00:00:00,Empty container returned,CALLAO (PE)
TEMU4124807,2019-04-11 00:00:00,Loaded (FCL) on vessel,CALLAO (PE)
TEMU3649895,2019-04-12 00:00:00,Empty container returned,CALLAO (PE)
EGSU9155191,2019-04-03 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
EGHU3162179,2019-04-11 00:00:00,Loaded (FCL) on vessel,CALLAO (PE)
TEMU8893137,2019-03-30 00:00:00,Empty container returned,CALLAO (PE)
EGHU9103147,2019-03-27 00:00:00,Discharged (FCL),CALLAO (PE)
EMCU1304638,2019-03-29 00:00:00,Empty container returned,CALLAO (PE)
EGHU9017521,2019-04-11 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
EGHU9329068,2019-04-11 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
EISU9055386,2019-04-11 00:00:00,Empty container returned,CALLAO (PE)
EISU9156817,2019-04-12 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
EMCU9806777,2019-04-11 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
IMTU9096231,2019-04-11 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
MAGU5421753,2019-04-11 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
TGHU6827924,2019-04-13 00:00:00,Empty container returned,CALLAO (PE)
MAGU5398606,2019-04-09 00:00:00,Empty container returned,CALLAO (PE)
EGHU9022934,2019-04-08 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
EMCU9767979,2019-04-04 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
EGSU9035690,2019-04-03 00:00:00,Empty container returned,CALLAO (PE)
EISU9210306,2019-04-03 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
EMCU9793710,2019-04-03 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
TGHU9028475,2019-04-03 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
TGBU5103033,2019-04-02 00:00:00,Empty container returned,CALLAO (PE)
EISU9074236,2019-04-03 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
EMCU9624704,2019-04-04 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
EISU2008593,2019-03-27 00:00:00,Discharged (FCL),CALLAO (PE)
EISU2052620,2019-03-27 00:00:00,Discharged (FCL),CALLAO (PE)
EISU2138637,2019-03-27 00:00:00,Discharged (FCL),CALLAO (PE)
EISU2161220,2019-03-27 00:00:00,Discharged (FCL),CALLAO (PE)
EISU2195998,2019-03-27 00:00:00,Discharged (FCL),CALLAO (PE)
EISU3934583,2019-03-27 00:00:00,Discharged (FCL),CALLAO (PE)
HMCU3012427,2019-03-27 00:00:00,Discharged (FCL),CALLAO (PE)
HMCU3053961,2019-03-27 00:00:00,Discharged (FCL),CALLAO (PE)
IMTU3002106,2019-03-27 00:00:00,Discharged (FCL),CALLAO (PE)
