container,movement_count,first_date,first_location,first_status,last_date,last_location,last_status
TEMU9040627,3,2019-04-12 21:56:00,VALPARAISO,Gate out empty,2019-05-10 01:00:00,HONG KONG,Vessel arrival
FSCU7222349,5,2019-04-13 13:35:00,CALLAO,Gate out empty,2019-04-27 08:00:00,SAN VICENTE,Vessel arrival
HLBU1654150,5,2019-04-01 16:13:00,CALLAO,Gate out empty,2019-04-18 07:00:00,"NEW YORK, NY",Vessel arrival
HLXU1342252,5,2019-04-02 09:20:00,CALLAO,Gate out empty,2019-06-01 06:00:00,BUSAN,Vessel arrival
UACU3734915,5,2019-04-03 18:36:00,CALLAO,Gate out empty,2019-06-01 06:00:00,BUSAN,Vessel arrival
HLBU9072639,3,2019-04-09 02:21:00,CALLAO,Gate out empty,2019-05-15 17:00:00,SHANGHAI,Vessel arrival
HAMU1089717,7,2019-04-04 11:38:00,CALLAO,Gate out empty,2019-05-17 00:00:00,LIANYUNGANG,Discharge
XINU1139100,5,2019-04-05 08:55:00,CALLAO,Gate out empty,2019-05-24 00:00:00,HUANGPU,Discharge
HLXU3449105,5,2019-04-04 08:51:00,CALLAO,Gate out empty,2019-06-01 06:00:00,BUSAN,Vessel arrival
TGHU6111945,4,2019-04-10 18:18:00,CALLAO,Gate out empty,2019-04-26 12:00:00,CAUCEDO,Vessel arrival
HAMU1181314,3,2019-04-12 14:53:00,CALLAO,Gate out empty,2019-04-25 08:00:00,SAN ANTONIO,Vessel arrival
UACU5692022,5,2019-04-03 11:49:00,CALLAO,Gate out empty,2019-05-05 18:00:00,"SAN JUAN, PUERTO RICO",Vessel arrival
UACU5453075,3,2019-04-12 09:49:00,CALLAO,Gate out empty,2019-04-22 15:00:00,SAN ANTONIO,Vessel arrival
HAMU1073475,3,2019-04-03 23:57:00,CALLAO,Gate out empty,2019-04-27 08:00:00,SAN VICENTE,Vessel arrival
FSCU6463001,5,2019-04-13 19:01:00,CALLAO,Gate out empty,2019-06-12 00:00:00,ZHANJIANG,Discharge
HAMU1284734,3,2019-04-11 11:17:00,CALLAO,Gate out empty,2019-04-22 15:00:00,SAN ANTONIO,Vessel arrival
HLXU8039525,3,2019-04-12 13:03:00,CALLAO,Gate out empty,2019-05-02 07:00:00,"NEW YORK, NY",Vessel arrival
UACU8176694,5,2019-04-02 17:31:00,CALLAO,Gate out empty,2019-04-13 10:00:00,GUAYAQUIL,Vessel arrival
UACU8464047,5,2019-04-01 16:45:00,CALLAO,Gate out empty,2019-05-04 22:00:00,"MAZATLAN, SIN",Vessel arrival
HLBU1875819,3,2019-04-10 20:31:00,CALLAO,Gate out empty,2019-04-22 15:00:00,SAN ANTONIO,Vessel arrival
HLBU1951884,5,2019-04-08 14:25:00,CALLAO,Gate out empty,2019-04-15 06:00:00,BUENAVENTURA,Vessel arrival
UACU5545320,3,2019-04-09 09:52:00,CALLAO,Gate out empty,2019-05-11 06:00:00,HAMBURG,Vessel arrival
HLBU1929392,4,2019-04-03 14:47:00,CALLAO,Gate out empty,2019-04-15 15:00:00,SAN ANTONIO,Vessel arrival
UACU5699557,3,2019-04-12 14:49:00,CALLAO,Gate out empty,2019-04-25 08:00:00,SAN ANTONIO,Vessel arrival
HLXU1029715,4,2019-04-11 12:12:00,CALLAO,Gate out empty,2019-04-19 15:00:00,BUENAVENTURA,Vessel arrival
AMFU3165522,5,2019-04-10 19:44:00,CALLAO,Gate out empty,2019-05-06 15:00:00,PROVIDENCIALES,Vessel arrival
GATU1304603,4,2019-04-11 11:12:00,CALLAO,Gate out empty,2019-04-19 15:00:00,BUENAVENTURA,Vessel arrival
HAMU1022652,5,2019-04-09 10:09:00,CALLAO,Gate out empty,2019-05-23 00:00:00,ZHANGJIAGANG,Discharge
HAMU1101535,5,2019-04-08 16:27:00,CALLAO,Gate out empty,2019-04-25 07:00:00,"NEW YORK, NY",Vessel arrival
HLBU1345188,3,2019-04-11 14:03:00,CALLAO,Gate out empty,2019-06-08 06:00:00,BUSAN,Vessel arrival
HLXU1017669,5,2019-04-03 14:18:00,CALLAO,Gate out empty,2019-06-01 06:00:00,BUSAN,Vessel arrival
HLXU1275663,3,2019-04-08 15:40:00,CALLAO,Gate out empty,2019-04-20 10:00:00,GUAYAQUIL,Vessel arrival
HLXU1311647,4,2019-04-03 10:49:00,CALLAO,Gate out empty,2019-04-15 15:30:00,GUAYAQUIL,Vessel arrival
HLXU1399849,7,2019-04-04 11:15:00,CALLAO,Gate out empty,2019-05-17 00:00:00,LIANYUNGANG,Discharge
HLXU1401442,7,2019-04-05 12:40:00,CALLAO,Gate out empty,2019-05-17 00:00:00,LIANYUNGANG,Discharge
HLXU3346030,5,2019-04-05 08:36:00,CALLAO,Gate out empty,2019-04-25 07:00:00,"NEW YORK, NY",Vessel arrival
