container,date,status,location
HLBU1027320,2019-02-12 10:29:00,Gate out empty,"PORTLAND, OR"
HLXU3134725,2019-02-13 14:39:00,Gate out empty,PORT KELANG
UACU4732028,2019-01-29 18:50:00,Gate out empty,"BRISBANE, QL"
UACU3841364,2019-01-16 09:44:00,Gate out empty,PORT KELANG
HLBU1031166,2019-01-07 14:16:00,Gate out empty,PORT KELANG
HLXU1130438,2018-11-19 18:44:00,Gate out empty,PORT KELANG
HLXU3123335,2019-02-15 08:11:00,Gate out empty,PITEAA
TGHU2445760,2019-02-13 13:08:00,Gate out empty,PITEAA
UACU4057505,2019-02-13 07:49:00,Gate out empty,PITEAA
HLBU1337156,2019-02-15 08:08:00,Gate out empty,PITEAA
HLXU1126680,2019-02-19 13:28:00,Gate out empty,PITEAA
HAMU1047769,2019-02-06 16:53:00,Gate out empty,"BRISBANE, QL"
