container,carrier,timedelta,first_date,first_status,first_status_code,first_location,first_latitude,first_longitude,first_vehicle,last_date,last_status,last_status_code,last_location,last_latitude,last_longitude,last_vehicle
TGHU0538924,2,38.03402777777778,2019-03-05 16:21:00,Gate out empty,1,"ESCOBEDO, NLE",25.7988451,-100.3728334,2,2019-04-12 17:10:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
UACU5989812,2,20.341666666666665,2019-03-12 04:33:00,Gate out empty,1,MEXICO CITY,19.4326009,-99.1333416,2,2019-04-01 12:45:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
TGHU6111924,2,58.90416666666667,2019-01-29 18:07:00,Gate out empty,1,CHITTAGONG,22.3307998,91.8412863,2,2019-03-29 15:49:00,Departure from,8,CALLAO,-12.066667,-77.15,2
HLBU1218814,2,58.64930555555556,2019-01-29 18:01:00,Gate out empty,1,CHITTAGONG,22.3307998,91.8412863,2,2019-03-29 09:36:00,Departure from,8,CALLAO,-12.066667,-77.15,2
HLXU8347810,2,56.31180555555556,2019-01-31 18:04:00,Gate out empty,1,CHITTAGONG,22.3307998,91.8412863,2,2019-03-29 01:33:00,Departure from,8,CALLAO,-12.066667,-77.15,2
HLXU6408049,2,56.93055555555556,2019-01-31 18:03:00,Gate out empty,1,CHITTAGONG,22.3307998,91.8412863,2,2019-03-29 16:23:00,Departure from,8,CALLAO,-12.066667,-77.15,2
HLXU8417728,2,56.93819444444444,2019-01-31 18:05:00,Gate out empty,1,CHITTAGONG,22.3307998,91.8412863,2,2019-03-29 16:36:00,Departure from,8,CALLAO,-12.066667,-77.15,2
CLHU9099869,2,38.10625,2019-02-27 07:39:00,Gate out empty,1,MEXICO CITY,19.4326009,-99.1333416,2,2019-04-06 10:12:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
CPSU1764330,2,9.57013888888889,2019-04-01 15:41:00,Gate out empty,1,CALLAO,-12.066667,-77.15,2,2019-04-11 05:22:00,Departure from,8,BUENAVENTURA,30.18890305,-107.095574065611,2
HLXU3502703,2,48.75416666666667,2019-02-15 17:11:00,Gate out empty,1,JIANGMEN,22.5766294,113.079047,2,2019-04-05 11:17:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
UACU8105432,2,52.859027777777776,2019-02-04 16:11:00,Gate out empty,1,LAEM CHABANG,13.0970555,100.9152266,2,2019-03-29 12:48:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
UACU3762033,2,56.740972222222226,2019-02-12 15:02:00,Gate out empty,1,BANGKOK,13.7538929,100.8160803,2,2019-04-10 08:49:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HLXU3007443,2,62.13611111111111,2019-01-31 10:43:00,Gate out empty,1,LIANYUNGANG,34.6092633,119.1695305,2,2019-04-03 13:59:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
UACU3333281,2,62.041666666666664,2019-01-31 10:24:00,Gate out empty,1,LIANYUNGANG,34.6092633,119.1695305,2,2019-04-03 11:24:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HLBU1638210,2,28.85763888888889,2019-03-05 13:32:00,Gate out empty,1,MEXICO CITY,19.4326009,-99.1333416,2,2019-04-03 10:07:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
TGBU5867896,2,34.81805555555555,2019-03-05 13:31:00,Gate out empty,1,MEXICO CITY,19.4326009,-99.1333416,2,2019-04-09 09:09:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HAMU1198770,2,20.100694444444443,2019-03-09 13:07:00,Gate out empty,1,"MANZANILLO, COL (MX)",19.12765695,-104.284125630077,2,2019-03-29 15:32:00,Departure from,8,CALLAO,-12.066667,-77.15,2
HLBU9106981,2,25.792361111111113,2019-03-08 19:38:00,Gate out empty,1,"MANZANILLO, COL (MX)",19.12765695,-104.284125630077,2,2019-04-03 14:39:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HAMU1321308,2,27.834722222222222,2019-03-12 12:40:00,Gate out empty,1,"QUERETARO, QUE",20.5878372,-100.3879904,2,2019-04-09 08:42:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HLBU9162922,2,25.792361111111113,2019-03-08 19:41:00,Gate out empty,1,"MANZANILLO, COL (MX)",19.12765695,-104.284125630077,2,2019-04-03 14:42:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
