container,carrier,timedelta,first_date,first_status,first_status_code,first_location,first_latitude,first_longitude,first_vehicle,last_date,last_status,last_status_code,last_location,last_latitude,last_longitude,last_vehicle
MRKU2577274,1,50.21111111111111,2019-02-02 14:37:00,Empty,1,"HLA Container Service
Laem Chabang, Thailand",13.0970555,100.9152266,2,2019-03-24 19:41:00,Gate out,8,"Valparaiso Terminal
Valparaiso, Chile",-33.0458456,-71.6196749,2
MNBU3341806,1,43.87708333333333,2019-02-21 16:51:00,Empty,1,"Shanghai Donghwa No.3 depot
Shanghai, Shanghai, China",31.2253441,121.4888922,2,2019-04-06 13:54:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU3220679,1,40.81944444444444,2019-02-21 19:10:00,Empty,1,"YANGSHAN, SGH GUANDONG TERMINAL
Shanghai, Shanghai, China",31.2253441,121.4888922,2,2019-04-03 14:50:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU6382164,1,40.90208333333333,2019-02-20 23:40:00,Empty,1,"YANGSHAN, SGH GUANDONG TERMINAL
Shanghai, Shanghai, China",31.2253441,121.4888922,2,2019-04-02 21:19:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MNBU3258585,1,45.9125,2019-02-15 14:01:00,Empty,1,"Hong Kong Modern Terminals Ltd
Hong Kong, Hong Kong",22.350627,114.1849161,2,2019-04-02 11:55:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MNBU3281327,1,41.32013888888889,2019-02-20 14:11:00,Empty,1,"Smart International Logistics Co
Qingdao, Shandong, China",36.0895093,120.3497193,2,2019-04-02 21:52:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
TGBU6827938,1,42.85069444444444,2019-02-18 13:47:00,Empty,1,"Hanjin Inchon Container Terminal
Inchon, Korea, South",37.35116225,126.603358562362,2,2019-04-02 10:12:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRKU0366924,1,49.765972222222224,2019-02-12 11:35:00,Empty,1,"Soraqia Depot
Amman, Jordan",31.9515694,35.9239625,2,2019-04-03 05:58:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
PONU1910417,1,33.19305555555555,2019-02-28 11:15:00,Empty,1,"Maersk Yokohama Terminal
Yokohama, Kanagawa, Japan",35.444991,139.636768,2,2019-04-02 15:53:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRKU0564745,1,32.9,2019-02-28 15:40:00,Empty,1,"Maersk Yokohama Terminal
Yokohama, Kanagawa, Japan",35.444991,139.636768,2,2019-04-02 13:16:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU6547639,1,32.261805555555554,2019-03-01 10:44:00,Empty,1,"Maersk Yokohama Terminal
Yokohama, Kanagawa, Japan",35.444991,139.636768,2,2019-04-02 17:01:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MNBU0086224,1,38.62638888888889,2019-02-23 00:19:00,Empty,1,"Shanghai Donghwa No.3 depot
Shanghai, Shanghai, China",31.2253441,121.4888922,2,2019-04-02 15:21:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MNBU0039515,1,38.550694444444446,2019-02-22 20:08:00,Empty,1,"SHANGHAI XIN SANLY DEPOT
Shanghai, Shanghai, China",31.2253441,121.4888922,2,2019-04-02 09:21:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MNBU3460683,1,38.546527777777776,2019-02-22 21:13:00,Empty,1,"SHANGHAI XIN SANLY DEPOT
Shanghai, Shanghai, China",31.2253441,121.4888922,2,2019-04-02 10:20:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MNBU0119293,1,38.22222222222222,2019-02-23 05:02:00,Empty,1,"SHANGHAI XIN SANLY DEPOT
Shanghai, Shanghai, China",31.2253441,121.4888922,2,2019-04-02 10:22:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MNBU4000044,1,38.30763888888889,2019-02-23 02:56:00,Empty,1,"SHANGHAI XIN SANLY DEPOT
Shanghai, Shanghai, China",31.2253441,121.4888922,2,2019-04-02 10:19:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MNBU3651530,1,38.8875,2019-02-22 18:30:00,Empty,1,"SHANGHAI XIN SANLY DEPOT
Shanghai, Shanghai, China",31.2253441,121.4888922,2,2019-04-02 15:48:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRSU3874259,1,39.299305555555556,2019-02-21 20:36:00,Empty,1,"Yangshan, SGH Shengdong Terminal
Shanghai, Shanghai, China",31.2253441,121.4888922,2,2019-04-02 03:47:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRKU4307766,1,42.86666666666667,2019-02-07 15:53:00,Gate in,2,"Jawaharlal Nehru NSICT
Jawaharlal Nehru, MAHARASHTRA, India",18.9470339,72.952661,2,2019-03-22 12:41:00,Gate out,8,"TCBUEN
Buenaventura, Valle Del Cauca, Colombia",3.6707494,-76.9807757700535,2
PONU8017129,1,40.863194444444446,2019-02-08 12:29:00,Gate in,2,"Jawaharlal Nehru NSICT
Jawaharlal Nehru, MAHARASHTRA, India",18.9470339,72.952661,2,2019-03-21 09:12:00,Gate out,8,"TCBUEN
Buenaventura, Valle Del Cauca, Colombia",3.6707494,-76.9807757700535,2
MSKU9498287,1,45.354166666666664,2019-02-04 00:27:00,Gate in,2,"Jawaharlal Nehru NSICT
Jawaharlal Nehru, MAHARASHTRA, India",18.9470339,72.952661,2,2019-03-21 08:57:00,Gate out,8,"TCBUEN
Buenaventura, Valle Del Cauca, Colombia",3.6707494,-76.9807757700535,2
