,container,date,location,status
0,EGSU5006184,2019-04-10,SAN ANTONIO (CL),Empty container returned
1,EGSU5006585,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
2,EGSU5007719,2019-04-11,SAN ANTONIO (CL),Empty pick-up by merchant haulage
3,EGSU5008438,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
4,EGSU5011719,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
5,EGSU5011832,2019-04-09,SAN ANTONIO (CL),Empty container returned
6,EGSU5012660,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
7,EGSU5015972,2019-04-11,SAN ANTONIO (CL),Empty pick-up by merchant haulage
8,EGSU5016752,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
9,EGSU5017743,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
10,EGSU5018544,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
11,EGSU5019284,2019-04-11,SAN ANTONIO (CL),Empty pick-up by merchant haulage
12,EGSU5023725,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
13,EISU5678808,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
14,EISU5681519,2019-04-11,SAN ANTONIO (CL),Empty container returned
15,EISU5683419,2019-02-15,KAOHSIUNG (TW),Empty container returned
16,EISU5685176,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
17,EISU5687688,2019-04-11,SAN ANTONIO (CL),Empty pick-up by merchant haulage
18,EISU5691498,2019-04-11,SAN ANTONIO (CL),Empty pick-up by merchant haulage
19,EISU5692149,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
20,EISU5692344,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
21,EISU5692658,2019-04-09,SAN ANTONIO (CL),Loaded (FCL) on vessel
22,EISU5695472,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
23,EMCU5278711,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
24,EMCU5278882,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
25,EMCU5279873,2019-04-11,SAN ANTONIO (CL),Empty pick-up by merchant haulage
26,EMCU5279997,2019-04-11,SAN ANTONIO (CL),Empty pick-up by merchant haulage
27,EMCU5282286,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
