,carrier,container,elapsed_days,first_date,first_latitude,first_location,first_longitude,first_status,first_status_code,first_vehicle,last_date,last_latitude,last_location,last_longitude,last_status,last_status_code,last_vehicle
0,2,TGHU0538924,38.03402777777778,2019-03-05 16:21:00,25.7988451,"ESCOBEDO, NLE",-100.3728334,Gate out empty,1,2,2019-04-12 17:10:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1,2,UACU5989812,20.341666666666665,2019-03-12 04:33:00,19.4326009,MEXICO CITY,-99.1333416,Gate out empty,1,2,2019-04-01 12:45:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
2,2,TGHU6111924,58.90416666666667,2019-01-29 18:07:00,22.3307998,CHITTAGONG,91.8412863,Gate out empty,1,2,2019-03-29 15:49:00,-12.066667,CALLAO,-77.15,Departure from,8,2
3,2,HLBU1218814,58.64930555555556,2019-01-29 18:01:00,22.3307998,CHITTAGONG,91.8412863,Gate out empty,1,2,2019-03-29 09:36:00,-12.066667,CALLAO,-77.15,Departure from,8,2
4,2,HLXU8347810,56.31180555555556,2019-01-31 18:04:00,22.3307998,CHITTAGONG,91.8412863,Gate out empty,1,2,2019-03-29 01:33:00,-12.066667,CALLAO,-77.15,Departure from,8,2
5,2,HLXU6408049,56.93055555555556,2019-01-31 18:03:00,22.3307998,CHITTAGONG,91.8412863,Gate out empty,1,2,2019-03-29 16:23:00,-12.066667,CALLAO,-77.15,Departure from,8,2
6,2,HLXU8417728,56.93819444444444,2019-01-31 18:05:00,22.3307998,CHITTAGONG,91.8412863,Gate out empty,1,2,2019-03-29 16:36:00,-12.066667,CALLAO,-77.15,Departure from,8,2
7,2,CLHU9099869,38.10625,2019-02-27 07:39:00,19.4326009,MEXICO CITY,-99.1333416,Gate out empty,1,2,2019-04-06 10:12:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
8,2,CPSU1764330,9.57013888888889,2019-04-01 15:41:00,-12.066667,CALLAO,-77.15,Gate out empty,1,2,2019-04-11 05:22:00,30.18890305,BUENAVENTURA,-107.095574065611,Departure from,8,2
9,2,HLXU3502703,48.75416666666667,2019-02-15 17:11:00,22.5766294,JIANGMEN,113.079047,Gate out empty,1,2,2019-04-05 11:17:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
10,2,UACU8105432,52.859027777777776,2019-02-04 16:11:00,13.0970555,LAEM CHABANG,100.9152266,Gate out empty,1,2,2019-03-29 12:48:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
11,2,UACU3762033,56.740972222222226,2019-02-12 15:02:00,13.7538929,BANGKOK,100.8160803,Gate out empty,1,2,2019-04-10 08:49:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
12,2,HLXU3007443,62.13611111111111,2019-01-31 10:43:00,34.6092633,LIANYUNGANG,119.1695305,Gate out empty,1,2,2019-04-03 13:59:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
13,2,UACU3333281,62.041666666666664,2019-01-31 10:24:00,34.6092633,LIANYUNGANG,119.1695305,Gate out empty,1,2,2019-04-03 11:24:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
14,2,HLBU1638210,28.85763888888889,2019-03-05 13:32:00,19.4326009,MEXICO CITY,-99.1333416,Gate out empty,1,2,2019-04-03 10:07:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
15,2,TGBU5867896,34.81805555555555,2019-03-05 13:31:00,19.4326009,MEXICO CITY,-99.1333416,Gate out empty,1,2,2019-04-09 09:09:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
16,2,HAMU1198770,20.100694444444443,2019-03-09 13:07:00,19.12765695,"MANZANILLO, COL (MX)",-104.284125630077,Gate out empty,1,2,2019-03-29 15:32:00,-12.066667,CALLAO,-77.15,Departure from,8,2
17,2,HLBU9106981,25.792361111111113,2019-03-08 19:38:00,19.12765695,"MANZANILLO, COL (MX)",-104.284125630077,Gate out empty,1,2,2019-04-03 14:39:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
18,2,HAMU1321308,27.834722222222222,2019-03-12 12:40:00,20.5878372,"QUERETARO, QUE",-100.3879904,Gate out empty,1,2,2019-04-09 08:42:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
19,2,HLBU9162922,25.792361111111113,2019-03-08 19:41:00,19.12765695,"MANZANILLO, COL (MX)",-104.284125630077,Gate out empty,1,2,2019-04-03 14:42:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
20,2,HLBU1379439,45.91180555555555,2019-02-22 12:43:00,23.2313053,"MAZATLAN, SIN",-106.4153144,Departure from,8,2,2019-04-09 10:36:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
21,2,UACU5524862,45.764583333333334,2019-02-11 13:12:00,44.4521637,"OAKLAND, CA",-64.3551639,Gate out empty,1,2,2019-03-29 07:33:00,-12.066667,CALLAO,-77.15,Departure from,8,2
22,2,HLXU1077420,41.57361111111111,2019-02-20 17:54:00,35.1799528,BUSAN,129.0752365,Gate out empty,1,2,2019-04-03 07:40:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
23,2,HLXU3204226,42.63611111111111,2019-02-20 16:37:00,35.1799528,BUSAN,129.0752365,Gate out empty,1,2,2019-04-04 07:53:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
24,2,HLXU3237873,35.82083333333333,2019-02-26 12:02:00,35.1799528,BUSAN,129.0752365,Gate out empty,1,2,2019-04-03 07:44:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
25,2,HLXU3259893,40.704861111111114,2019-02-21 19:18:00,35.1799528,BUSAN,129.0752365,Gate out empty,1,2,2019-04-03 12:13:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
26,2,HLXU3347905,39.80277777777778,2019-02-22 17:09:00,35.1799528,BUSAN,129.0752365,Gate out empty,1,2,2019-04-03 12:25:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
27,2,HLXU3392083,45.02847222222222,2019-02-20 12:42:00,35.1799528,BUSAN,129.0752365,Gate out empty,1,2,2019-04-06 13:23:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
28,2,TEMU5450990,42.65,2019-02-21 16:46:00,35.1799528,BUSAN,129.0752365,Gate out empty,1,2,2019-04-05 08:22:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
29,2,TGHU3790272,39.53472222222222,2019-02-21 19:18:00,35.1799528,BUSAN,129.0752365,Gate out empty,1,2,2019-04-02 08:08:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
30,2,UACU3411614,43.113194444444446,2019-02-20 12:42:00,35.1799528,BUSAN,129.0752365,Gate out empty,1,2,2019-04-04 15:25:00,-12.066667,CALLAO,-77.15,Departure from,8,2
31,2,UACU3452866,46.87222222222222,2019-02-22 16:47:00,35.1799528,BUSAN,129.0752365,Gate out empty,1,2,2019-04-10 13:43:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
