,carrier,container,elapsed_days,first_date,first_latitude,first_location,first_longitude,first_status,first_status_code,first_vehicle,last_date,last_latitude,last_location,last_longitude,last_status,last_status_code,last_vehicle
0,1,MRKU2577274,50.21111111111111,2019-02-02 14:37:00,13.0970555,"HLA Container Service
Laem Chabang, Thailand",100.9152266,Empty,1,2,2019-03-24 19:41:00,-33.0458456,"Valparaiso Terminal
Valparaiso, Chile",-71.6196749,Gate out,8,2
1,1,MNBU3341806,43.87708333333333,2019-02-21 16:51:00,31.2253441,"Shanghai Donghwa No.3 depot
Shanghai, Shanghai, China",121.4888922,Empty,1,2,2019-04-06 13:54:00,-12.066667,"APM Terminals in Callao Port
Callao, Peru",-77.15,Gate out,8,2
2,1,MSKU3220679,40.81944444444444,2019-02-21 19:10:00,31.2253441,"YANGSHAN, SGH GUANDONG TERMINAL
Shanghai, Shanghai, China",121.4888922,Empty,1,2,2019-04-03 14:50:00,-12.066667,"APM Terminals in Callao Port
Callao, Peru",-77.15,Gate out,8,2
3,1,MSKU6382164,40.90208333333333,2019-02-20 23:40:00,31.2253441,"YANGSHAN, SGH GUANDONG TERMINAL
Shanghai, Shanghai, China",121.4888922,Empty,1,2,2019-04-02 21:19:00,-12.066667,"APM Terminals in Callao Port
Callao, Peru",-77.15,Gate out,8,2
4,1,MNBU3258585,45.9125,2019-02-15 14:01:00,22.350627,"Hong Kong Modern Terminals Ltd
Hong Kong, Hong Kong",114.1849161,Empty,1,2,2019-04-02 11:55:00,-12.066667,"APM Terminals in Callao Port
Callao, Peru",-77.15,Gate out,8,2
5,1,MNBU3281327,41.32013888888889,2019-02-20 14:11:00,36.0895093,"Smart International Logistics Co
Qingdao, Shandong, China",120.3497193,Empty,1,2,2019-04-02 21:52:00,-12.066667,"APM Terminals in Callao Port
Callao, Peru",-77.15,Gate out,8,2
6,1,TGBU6827938,42.85069444444444,2019-02-18 13:47:00,37.35116225,"Hanjin Inchon Container Terminal
Inchon, Korea, South",126.603358562362,Empty,1,2,2019-04-02 10:12:00,-12.066667,"APM Terminals in Callao Port
Callao, Peru",-77.15,Gate out,8,2
7,1,MRKU0366924,49.765972222222224,2019-02-12 11:35:00,31.9515694,"Soraqia Depot
Amman, Jordan",35.9239625,Empty,1,2,2019-04-03 05:58:00,-12.066667,"APM Terminals in Callao Port
Callao, Peru",-77.15,Gate out,8,2
8,1,PONU1910417,33.19305555555555,2019-02-28 11:15:00,35.444991,"Maersk Yokohama Terminal
Yokohama, Kanagawa, Japan",139.636768,Empty,1,2,2019-04-02 15:53:00,-12.066667,"APM Terminals in Callao Port
Callao, Peru",-77.15,Gate out,8,2
9,1,MRKU0564745,32.9,2019-02-28 15:40:00,35.444991,"Maersk Yokohama Terminal
Yokohama, Kanagawa, Japan",139.636768,Empty,1,2,2019-04-02 13:16:00,-12.066667,"APM Terminals in Callao Port
Callao, Peru",-77.15,Gate out,8,2
